ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,ROAD HERO SKU,SRP INC VAT,Trade Price
9507,Volkswagen,California,T5 Facelift,2009,2015,2.0TSi,145/80/18,"18""",RH209,299,182.5
9492,Volkswagen,California,T6,2015,2019,2.0 TDI,145/80/18,"18""",RH209,299,182.5
9499,Volkswagen,California,T6,2015,2019,"2.0 TDI,2.0 TSI",145/80/18,"18""",RH209,299,182.5
9511,Volkswagen,California,T6,2015,2019,"2.0 TDI,2.0 TSI",145/80/18,"18""",RH209,299,182.5
9494,Volkswagen,California,T6.1,2019,1900,2.0 TDI,145/80/18,"18""",RH209,299,182.5
9496,Volkswagen,California,T6.1,2019,1900,2.0 TDI,145/80/18,"18""",RH209,299,182.5
9509,Volkswagen,Caravelle,T4 Facelift,1995,2003,"1.9 TD,2.0,2.4 D,2.5 TDI",145/80/18,"18""",RH037,299,182.5
9533,Volkswagen,Caravelle,T4 Facelift,1995,2003,"2.5,2.8",145/80/18,"18""",RH037,299,182.5
9545,Volkswagen,Caravelle,T4 Facelift,1995,2003,2.8,145/80/18,"18""",RH037,299,182.5
9504,Volkswagen,Caravelle,T5,2003,2009,"1.9TDi,2.0i,3.2i",145/80/18,"18""",RH209,299,182.5
9518,Volkswagen,Caravelle,T5,2003,2009,2.5TDi,145/80/18,"18""",RH209,299,182.5
9502,Volkswagen,Caravelle,T5 Facelift,2009,2015,"2.0i,2.0TDi",145/80/18,"18""",RH209,299,182.5
9512,Volkswagen,Caravelle,T5 Facelift,2009,2015,"2.0BiTDi,2.0TSi",145/80/18,"18""",RH209,299,182.5
9500,Volkswagen,Caravelle,T6,2015,2019,2.0 TDI,145/80/18,"18""",RH209,299,182.5
9505,Volkswagen,Caravelle,T6,2015,2019,"2.0 TDI,2.0 TSI",145/80/18,"18""",RH209,299,182.5
9514,Volkswagen,Caravelle,T6,2015,2019,"2.0 TDI,2.0 TSI",145/80/18,"18""",RH209,299,182.5
9501,Volkswagen,Caravelle,T6.1 Facelift,2019,1900,2.0 TDI,145/80/18,"18""",RH209,299,182.5
9506,Volkswagen,Caravelle,T6.1 Facelift,2019,1900,2.0 TDI,145/80/18,"18""",RH209,299,182.5
9515,Volkswagen,CC,Facelift,2012,2017,"1.4TSi,1.8TSi,2.0TDi",135/80/17,"17""",RH149,249,155
9531,Volkswagen,CC,Facelift,2012,2017,2.0TSi,135/80/17,"17""",RH149,249,155
9538,Volkswagen,CC,Facelift,2012,2017,3.6FSi,135/80/17,"17""",RH149,249,155
9517,Volkswagen,CC,,2008,2012,2.0TSi,135/80/17,"17""",RH149,249,155
9521,Volkswagen,CC,,2008,2012,3.6FSi,135/80/17,"17""",RH149,249,155
9520,Volkswagen,City Golf,,2007,2007,2.0i,125/80/17,"17""",RH032,249,155
9519,Volkswagen,City Golf,,2008,2010,2.0i,125/80/17,"17""",RH032,249,155
9523,Volkswagen,Corrado,53L,1988,1995,"1.8i,2.0i",125/80/15,"15""",RH017,199,125
9532,Volkswagen,Cross Up!,Facelift,2016,1900,"1.0 MPI,1.0 TSI",125/80/15,"15""",RH017,199,125
9529,Volkswagen,Cross Up!,,2013,2016,1.0 MPI,125/80/15,"15""",RH017,199,125
9540,Volkswagen,CrossFox,I,2005,2009,1.6i,125/80/17,"17""",RH032,249,155
9539,Volkswagen,CrossFox,I Facelift,2008,2010,1.6i,125/80/17,"17""",RH032,249,155
9534,Volkswagen,CrossFox,II Facelift,2015,1900,1.6 MSI,125/80/17,"17""",RH032,249,155
9537,Volkswagen,CrossGolf,,2004,2009,"1.4TSi,1.6i,1.9TDi,2.0TDi",125/80/17,"17""",RH033,249,155
9542,Volkswagen,CrossPolo,6R,2010,2018,"1.0i,1.0TSi,1.2TDi,1.2TSi,1.4i,1.4TDi,1.6TDi",125/80/15,"15""",RH019,199,125
9541,Volkswagen,CrossPolo,9N,2006,2009,"1.2i,1.4i,1.4TDi,1.6i,1.9TDi",125/80/15,"15""",RH019,199,125
9546,Volkswagen,CrossTouran,Facelift,2010,2015,"1.4TSi,1.6TDi,2.0TDi",135/80/17,"17""",RH149,249,155
9564,Volkswagen,CrossTouran,Facelift,2010,2015,"1.4TSi,2.0TDi",135/80/17,"17""",RH149,249,155
9544,Volkswagen,CrossTouran,,2007,2010,"1.4TSi,1.6i,1.9TDi,2.0TDi",135/80/17,"17""",RH149,249,155
9567,Volkswagen,CrossTouran,,2007,2010,"1.4TSi,2.0TDi",135/80/17,"17""",RH149,249,155
9549,Volkswagen,Derby,III,1994,1997,1.8i,125/80/15,"15""",RH017,199,125
9548,Volkswagen,Derby,III Facelift,1998,2004,1.8i,125/80/15,"15""",RH017,199,125
9547,Volkswagen,Derby,III Facelift,2005,2009,1.8i,125/80/15,"15""",RH017,199,125
9550,Volkswagen,e-Golf,Mk7,2014,1900,e-Golf,135/80/17,"17""",RH149,249,155
9551,Volkswagen,Eos,Facelift,2011,2016,"1.4TSi,2.0TDi",135/80/17,"17""",RH149,249,155
9559,Volkswagen,Eos,Facelift,2011,2016,2.0TSi,135/80/17,"17""",RH149,249,155
9552,Volkswagen,Eos,,2006,2011,"1.4TSi,1.6FSi,2.0FSi,2.0TDi",135/80/17,"17""",RH149,249,155
9566,Volkswagen,Eos,,2006,2011,"1.4TSi,2.0TFSi",135/80/17,"17""",RH149,249,155
9575,Volkswagen,Eos,,2006,2011,"2.0TSi,3.2i",135/80/17,"17""",RH149,249,155
9581,Volkswagen,Eos,,2006,2011,3.6i,135/80/17,"17""",RH149,249,155
9556,Volkswagen,Fox,I,2004,2009,"1.0i,1.6i",125/80/15,"15""",RH019,199,125
9557,Volkswagen,Fox,II,2005,2011,"1.2i,1.4 TDI,1.4i",125/80/15,"15""",RH019,199,125
9555,Volkswagen,Fox,II,2010,2014,"1.0i,1.6 MSI",125/80/15,"15""",RH019,199,125
9554,Volkswagen,Fox,III,2015,1900,"1.0 MPI,1.0i,1.6 MSI",125/80/15,"15""",RH019,199,125
9572,Volkswagen,Fox,III,2015,1900,1.6i,125/80/15,"15""",RH019,199,125
9574,Volkswagen,Gol,G1,1980,1994,"1.0,1.3,1.5",125/80/15,"15""",RH017,199,125
9590,Volkswagen,Gol,G1,1980,1994,1.8,125/80/15,"15""",RH017,199,125
9571,Volkswagen,Gol,G2,1995,1999,"1.0,1.6",125/80/15,"15""",RH017,199,125
9579,Volkswagen,Gol,G2,1995,1999,"1.8,2.0",125/80/15,"15""",RH017,199,125
9570,Volkswagen,Gol,G3,1999,2005,1.0i,125/80/15,"15""",RH017,199,125
9573,Volkswagen,Gol,G3,1999,2005,1.0T,125/80/15,"15""",RH017,199,125
9568,Volkswagen,Gol,G4,2005,2008,"1.0i,1.8i",125/80/15,"15""",RH017,199,125
9576,Volkswagen,Gol,G4,2005,2008,1.0T,125/80/15,"15""",RH017,199,125
9569,Volkswagen,Gol,G5,2009,2012,"1.0i,1.6i",125/80/15,"15""",RH017,199,125
9565,Volkswagen,Gol,G6,2013,2016,"1.0i,1.6i",125/80/15,"15""",RH017,199,125
9563,Volkswagen,Gol,G7,2017,2018,"1.0i,1.6i",125/80/15,"15""",RH017,199,125
9562,Volkswagen,Gol,G8,2019,1900,"1.0i,1.6 MSI,1.6i",125/80/15,"15""",RH017,199,125
9587,Volkswagen,Golf,Mk1,1974,1984,"1.1,1.3,1.5,1.6",125/80/15,"15""",RH017,199,125
9602,Volkswagen,Golf,Mk1,1974,1984,"1.6,1.8",125/80/15,"15""",RH017,199,125
9586,Volkswagen,Golf,Mk2,1983,1992,"1.0,1.3,1.6,1.8",125/80/15,"15""",RH017,199,125
9604,Volkswagen,Golf,Mk2,1983,1992,"1.8,1.8i Cat,1.8i Cat Syncro",125/80/15,"15""",RH017,199,125
9617,Volkswagen,Golf,Mk2,1983,1992,"1.8 GTI 16V,1.8 GTI G60,1.8 GTI G60 Syncro",125/80/15,"15""",RH017,199,125
9584,Volkswagen,Golf,Mk3,1991,1998,"1.4,1.6,1.8,1.9 TD",125/80/15,"15""",RH017,199,125
9599,Volkswagen,Golf,Mk3,1991,1998,2,125/80/15,"15""",RH017,199,125
9585,Volkswagen,Golf,Mk4,1997,2006,"1.4i,1.6 FSI,1.6i,1.9TDi,2.0i",125/80/17,"17""",RH032,249,155
9601,Volkswagen,Golf,Mk4,1997,2006,"1.8i,1.8T,1.9TDi,2.3i",125/80/17,"17""",RH032,249,155
